urldata,namingsdata,datesdata,textdata
https://bloknot-volzhsky.ru/news/festival-po-tkhekvon-do-gtf-proshel-v-volzhskom,Фестиваль по тхэквон-до ГТФ прошел в Волжском,2024-01-19,"В Волжском в КФП «Волга» прошел фестиваль по тхэквондо-до ГТФ. Волжские спортсмены приняли участие в значимом спортивном мероприятии. Как сообщает «Блокнот Волжский» со ссылкой на Волжскую федерацию кикбоксинга, юные спортсмены заняли призовые места. Первое место завоевали: Ева Остапенко, Даниэль Карабеков, Дамир Карабеков. Второе место у Никиты Иванова, почетная бронза досталась Егору Жибак. Напомним, что в Волжском в физкультурно-оздоровительном комплексе «Русь», прошел турнир АМУ ФКС «Волжанин» по мини-футболу. Как сообщает «Блокнот Волжский» со ссылкой на пресс-службу АМУ ФКС «Волжанин», юные спортсмены показали свое мастерство. В финале оказалось три команды."
https://bloknot-volzhsky.ru/news/posle-otklyucheniya-otopleniya-i-goryachey-vody-u-,После отключения отопления и горячей воды у волжанина прорвало змеевик: видео,2024-01-19,"В редакцию «Блокнот Волжский» 19 января местный житель Андрей С прислал видео и рассказал, что в его квартире после массового отключения горячей воды и отопления прорвало полотенцесушитель. – Я проживаю в 24 микрорайоне по адресу: улица Пушкина, 162. У меня в квартире после позавчерашнего (17 января) отключения горячей воды и отопления выдавило внутренний эксцентрик из-под него лилась вода. Я в этот момент находился на работе, а после я вернулся в затопленную квартиру. Я только сделал в ней новый ремонт и не знаю, что теперь делать. Тепловые сети говорят, что они не причем, а в УК «МПЖХ» сказали ждать. Я хотел бы узнать, кто-то еще из жителей столкнулся с такой проблемой как у меня, – рассказал Андрей. Напомним, в Волжском 17 января сообщили о снижении давления горячей воды и отопления из-за аварии на тепломагистрали."
https://bloknot-volzhsky.ru/news/za-kilo-400-rubley-tsena-na-svezhie-pomidory-bet-r,За кило 400 рублей: цена на свежие помидоры бьет рекорды в магазинах Волжского,2024-01-19,"Корреспондент «Блокнот Волжский» провел мониторинг цен на томаты в магазинах города. Цены зафиксированы в пятницу в полдень, 19 января. Накануне Волгоградстат опубликовал данные по изменению цен на продукты в магазинах региона с 10 по 15 января. Сильно подорожали овощи . В «Пятерочке» свежие помидоры стоят 201, 59 рублей, если у вас есть карта этого магазин, по покупка будет стоить уже 179,99 рублей за килограмм. Есть в ассортименте и фасованные томаты. Фото: цена в «Пятерочке» В магазине «Магнит Экстра» корреспондент «Блокнот Волжский» нашел томаты 269, 99 рублей и более дешевый вариант за 179,99 рублей. Фото: цена в «Магнит Экстра» В сети магазинов «Покупочка» есть фасованные помидоры, а на развес томаты тут стоят 229, 99 рублей за килограмм, но если есть скидочная карта этой ети, покупка обойдется вам на несколько рублей дешевле. Фото: «Покупочка» «Перекресток» как всегда богат на ассортимент. Выбрали самые дорогие помидоры за 399,99 рублей за килограмм и более демократичный вариант за 229, 99 рублей. Фото: Цена в магазине «Перекресток» «Метро» на своих прилавках продает томаты по 399,00 рублей, впрочем, есть тут и помидоры за 179, 00 рублей. В результате мониторинга стал ясно, что самые дорогие помидоры продаются в магазине «Перекресток» за 399,99 рублей, а самая демократичная цена на томаты в том же магазине «Метро» за 179,00 рублей. Фото: «Метро» Напомним, что в прошлом выпуске продуктовой корзины корреспондент «Блокнот Волжский» провел мониторинг цен на яйца в магазинах города. Подешевели или выросли в цене? Об этом в нашей статье. Мониторинг цен на куриные яйца проводился в пятницу, 12 января."
https://bloknot-volzhsky.ru/news/komanda-volzhskikh-tantsorov-dostoyno-vystupila-na-1691606,Команда волжских танцоров достойно выступила на масштабных площадках Санкт-Петербурга и Москвы,2024-01-19,"Команда волжских танцоров достойно представила город Волжский и Волгоградскую область на масштабных площадках Санкт-Петербурга и Москвы. Мастерская авторской хореографии ""Я, МЫ"" под руководством балетмейстера-постановщика Мамонтовой Аллы Владимировны стала номинантом Новой международной премии в области детского и молодёжного творчества ARTIS-2023* в городе Санкт-Петербурге со 02 по 07 декабря 2023 года, где были собраны Лауреаты первой степени хореографического искусства со всех уголков России и ближнего зарубежья. А уже с 10 по 13 января приняли участие в масштабном проекте страны - II Национальной Телевизионной Премии ""Щелкунчик"" Московской Международной академии хореографии в Москве, где получили звание Лауреата 3 степени. Среди 200 коллективов и более чем 3000 участников волжане выглядели очень достойно! Это огромная заслуга и совместный кропотливый труд руководителя - Аллы Владимировны Мамонтовой и педагогов: В. Ю. Семеновой, Е. А. Богдашкиной, Н. В. Матвеевой. От родителей и участников конкурсных составов - СПАСИБО! * ARTIS-2023 – АРТИТС-2023 Фото предоставлено: ф.л Колоскова А.П Реклама. ф.л Колоскова А."
https://bloknot-volzhsky.ru/news/bastrykin-vzyal-na-kontrol-delo-s-tramvayami-v-vol-1691819,Бастрыкин взял на контроль дело с трамваями в Волжском,2024-01-19,"Председатель Следственного комитета России А.И. Бастрыкин поставил на контроль проверку по сообщению о сокращении трамвайного движения в Волжском. Как сообщает редакция «Блокнот Волжский» со ссылкой на пресс-службу следственного комитета по Волгоградской области, в социальной сети оставлен адресованный председателю СК России А.И. Бастрыкину комментарий о несогласии с предстоящим с 22 января текущего года сокращением трамвайного движения в Волжском. Отмечается, что один маршрут прекратит работу, интервалы других будут увеличены. Местные жители опасаются, что линии впоследствии будет полностью ликвидированы. На данный момент в СУ СК России по Волгоградской области организована процессуальная проверка. – Председатель Следственного комитета Российской Федерации Александр Иванович Бастрыкин поставил ход процессуальной проверки на контроль в центральном аппарате ведомства и поручил и.о. руководителя СУ СК по Волгоградской области Дмитрию Владимировичу Буравцову представить доклад о ее промежуточных результатах и принятом по итогам решении, – сообщили в пресс-службе. Напомним, что шокирующая новость о срезании большей части рейсов появилась на сайте автоколонны 16 января . По первому анонсу сокращение должно было вступить в действие с 22 января. Однако по данным пресс-службы, вопрос отложили. Правда, ненадолго. Добавим, что задолженность автоколонны по контракту на перевозку пассажиров насчитывает порядка 97 млн рублей . По данным чиновников, из 160 миллионов по контракту за 2 полугодие 2023 года автоколонна получила 15 миллионов. Долг областного комитета транспорта перед волжским транспортным предприятием составляет 97 миллионов рублей. Кредиторская задолженность самой автоколонны составляет порядка 100 миллионов рублей."
https://bloknot-volzhsky.ru/news/ot-moskvy-do-berlina-neveroyatnye-priklyucheniya-p,От Москвы до Берлина: невероятные приключения пса «Верного» из Волжского,2024-01-19,"Невероятная история произошла с собакой по кличке Верный из Волжского. Пес жил в приюте «Уголек», побывал во всех районах Москвы и уехал на ПМЖ в Германию. Фото: приют для животных ""Уголек"", Верный в Волжском Попал пес в приют «Уголек» в Волжском еще в 2020 году подростком. Видно, что судьба помотала его по улицам. В приюте его отмыли, откормили и назвали Верный. Любвеобильный парнишка нравился многим, но не каждый готов был забрать домой почти взрослую собаку. Два раза все таки его пытались взять, но попытки были не удачными. В первом случае – по семейным обстоятельствам хозяину пришлось переехать в другой город, а во втором – новые хозяева не справились с любвеобильным парнем. Фото: приют для животных ""Уголек"", Верного ищут в Москве – В итоге мы решились перевезти нашего Верного в столицу, именно оттуда пришла заявка на него. Верный отлично адаптировался к новому месту, подружился с соседями. Но снова его «уличное прошлое» взяло верх над разумом. На прогулке собака внезапно ощутила себя свободным и «скрылся за горизонтом». Искали не только всей Москвой, но и разными странами. Это не преувеличение - Волгоград, Волжский, Санкт-Петербург, Россия, Норвегия, Нидерланды, Германия все волонтеры были на связи! Сколько пройдено километров дворов, расклеено объявлений. Обращались даже к тарологу, что бы район поиска определить , – рассказала корреспонденту «Блокнот Волжский» в приюте «Уголек». Фото: приют для животных ""Уголек"", маршрут Верного по Москве И спустя несколько недель Верный нашелся! После приключений Верный быстро оклемался и вроде даже присмирел. Через полгода Верного приметила молодая пара из города Тамбов. Собака переехала в новую семью, но своенравный «мальчик» решил, что он «тамбовский волк» и жить должен на воле, а не в тесной квартире. Верный стал активно превращать квартиру в свое жилье по своему подобию, а времени чтобы заниматься с ним у новых хозяев не оказалось. К сожалению, они переоценили свои возможности. Верный вернулся в Москву. Фото: приют для животных ""Уголек"", Верный в Берлине Оказалось, что все это время за Верным наблюдали наши соотечественники из-за границы, и твердо решили, что эта собака именно тот пес, который им нужен. За шерстяным мальчуганом приехали в Россию чтобы познакомиться. Верный покорил их сердца и уехал вместе с новыми хозяевами в Германию, в Берлин. В срочном порядке были оформлены все документы для выезда, но и тут не обошлось без курьеза. В паспорте требовалось указать точную дату рождения. Как вы думаете какую дату ветеринар указал, когда узнал куда едет пес, который родился на Сталинградской земле? Верному вписали в паспорт день рождения – 9 Мая. Напомним, что близ Волжского в зооцентре «Дино» появился новый обитатель – волк. Директор зооцентра Анжела Макарова рассказала корреспонденту редакции «Блокнот Волжский» душещипательную историю его появления в приюте."
https://bloknot-volzhsky.ru/news/6-ti-letniy-malchik-iz-volzhskogo-proglotil-batare,6-ти летний мальчик из Волжского проглотил батарейку: медики успели спасти ему жизнь,2024-01-19,"В Волжском 6-ти летнему ребенку оказали экстренную помощь. Малыш проглотил батарейку и инородное тело находилось в его желудке. Как сообщили корреспонденту редакции «Блокнот Волжский» в пресс-службе Здравоохранения, с бульвара Профсоюзов госпитализировали ребенка, который проглотил батарейку. Малышу была оказана необходимая помощь и батарейку извлекли из его желудка естественным путем без хирургического вмешательства. На данный момент мальчик 6-ти лет находиться на амбулаторном лечении. Батарейка не успела причинить сильного вреда здоровью ребенка. Так как при попадании батарейки в пищевод или желудок возникает угроза ее окисления и соответственно ожогов плоть до перфорации тканей. Поэтому родителям при такой ситуации, следует незамедлительно вызывать «скорую» или же самим отвести ребенка в больницу. Напомним, в Волжской больнице Фишера в преддверии Нового года медицинские работники оказали помощь 26-летнему пациенту, который получил ранения на СВО ."
https://bloknot-volzhsky.ru/news/svernuli-nam-kran-i-my-sideli-bez-vody-v-podvale-v,"«Свернули нам кран, и мы сидели без воды»: в подвале Волжского МКД поселились бомжи",2024-01-19,"В редакцию «Блокнот Волжский» 19 января обратилась местная жительница. Женщина прислала видео и рассказала, что в подвале ее дома проживают люди без отпряденного места жительства. Волжанка рассказала, что из-за людей, которые проживают у нее в подвале произошла авария и весь дом в 11 подъездов был без воды. – Я проживаю по адресу: улица Кирова, 24 в 10 подъезде и у нас в подвале живут бомжи, мы звонили в 112, соседи обращались в управляющую компанию с просьбой повесить на дверь замок, на что им ответили, что не могут повесить, так как нужно менять дверь. Сегодня ночью я решила набрать воды, искупаться, но неожиданно у нас отключили воду. Я позвонила в службу 112 к счастью, сотрудники быстро приехали и починили, как оказалось бомжи там, что-то делали и свернули нам кран, в результате весь дом в 11 подъездов был без воды, – рассказала местная жительница. Волжанка обращается в УК «Городское управление» с просьбой заменить дверь в подвале и поставить замок. – Сейчас время не спокойное, мы не знаем, что это за люди и на что они способны, – добавила женщина. Напомним, гололед сделал выезд из СНТ «Дружба» смертельно опасным . В редакцию «Блокнот Волжский» в пятницу, 19 января, обратился волжанин Ольг Шмелев (фамилия изменена прим.редакции). Мужчина рассказал, что въезд в СНТ «Дружба» со стороны поселка Рабочий представляет собой опасность несколько дней."
https://bloknot-volzhsky.ru/news/malysham-tut-ne-mesto-volzhskiy-9-kvartal-ne-predn,«Малышам тут не место»: Волжский 9 квартал не предназначен для детей,2024-01-19,"«Блокнот» в поисках ответа на вопрос «Кому в Волжском жить хорошо?» продолжает исследовать город. Сегодня мы посетили один из первых кварталов, который находится при въезде в город. Мы проверили 9 квартал. Его территорию ограничивают 3 улицы: Циолковского, Ленина и Карла Маркса. Из образовательных учреждений здесь находится только детский сад. Ближайшая школа в соседнем квартале, поэтому родителям приходиться водить своих чад через улицу Карла Маркса. Корреспондент редакции прошелся по всей территории квартала и выяснилось, что пешеходные дорожки не обработаны от льда. Ходить по кварталу практически невозможно. Жители подтвердили эту проблему. – Посыпки нет никакой, я пока шел чуть не разбился. Жители отметили, что в квартале в темное время суток приходится передвигаться с фонариком, так как уличное освещение не работает. – Света нет ни в одном дворе. Вечером страшно идти с работы по этой темноте. В квартале мы не увидели ни одной детской площадки. Жители рассказали, что их в квартале нет. Из-за чего приходиться ходить на прогулку с детьми в соседние районы. Большинству деревьям в квартале уже более 60-ти лет. Они представляют большую опасность как для жителей, так и для припаркованных под ними автомобилях. – В прошлом сезоне, когда был сильный ветер упала ветка и деревья так и не подпилили, а оставили как есть. Жители отметили, что в квартале большое количество бездомных животных. Собаки разгуливают стаями в поисках еды. – Вот буквально на днях в зоне мусорок была стая собак. В 9 квартале мы выделили 3 основных минуса. Это отсутствие детских площадок, большое количество бездомных животных и сухостой."
https://bloknot-volzhsky.ru/news/letel-s-gory-kubarem-i-sobiral-produkty-po-doroge-,Летел с горы кубарем  и собирал продукты по дороге: волжанин рассказал о «горе выживания»,2024-01-19,"Гололед сделал выезд из СНТ «Дружба» смертельно опасным. В редакцию «Блокнот Волжский» в пятницу, 19 января, обратился волжанин Ольг Шмелев (фамилия изменена прим.редакции). Мужчина рассказал, что въезд в СНТ «Дружба» со стороны поселка Рабочий представляет собой опасность несколько дней. По словам волжанина, чтобы выехать на дорогу (которая в этом месте круто идет в гору) надо иметь мощный джип. На обычной иномарке или российском автопроме невозможно выехать, так как сильный гололед сковал поверхность дороги. - В нашем СНТ «Дружба» проживает зимой около 50 человек. Это в основном пожилые люди и семьи с детьми. В последние несколько дней дорога превратилась в «гору выживания». На нее невозможно заехать, приходится ездить в обход, а это лишних несколько километров. Дети, вынуждены ходить по этой ледяной горе в школу – рискую упасть и сломать себе руки – ноги. Почему ее не посыпают и не чистят – не известно, - недоумевает пенсионер. Видео:Олег Шмелев опасная дорога- гора Мужчина  рассказал, что соседский мальчик у него на глазах недавно упал с этой горы и  чудом остался жив и здоров. Отделался несколькими синяками. Подросток возвращался из магазина с покупками. - Он с магазина шел домой с пакетами и поскользнулся – упал. Пакеты упали вниз порвались, а сам он кубарем свалился в самый низ горы. Потом по всей дороге собирал продукты. Недавно видел, как старушка упала сильно разбила ногу - она ходит кормить собаку на дачу. Хорошо, дети подошли помогли ей забраться на гору. Я более мобилен и на машине, поэтому приходится носить продукты соседям – пожилым людям, потому, что им на эту гору не забраться ,- рассказал Олег. Напомним,что в прошлом выпуске рубрики   «Обращение в редакцию» волжане жаловались на перенос остановки общественного транспорта. В редакцию «Блокнот Волжский» 16 января обратилась местная жительница Наталья Б. Женщину возмутило решение о переносе автобусной остановки «Политех» . Наталья уверена, что перенос остановки создал проблемы и неудобства жителям дома Энгельса, 30. Напротив него находится трамвайная остановка, которая теперь, с 13 января, совмещена с автобусной."
